code,qr_url,status,batch_name,assigned_to
PF-000134,https://farecoh.org/t/0872ff96b713e7b47dc929756482577aace8b6f00b6f9797536c710726ce0f03,available,LOTE GENERAL 001,
PF-000135,https://farecoh.org/t/372c78ba5db2b7df0b3118a471892c980403acbbad75af86b82a24641744889b,available,LOTE GENERAL 001,
PF-000136,https://farecoh.org/t/b435a1472ec99749c6c6663bf2ec675161097ae31af6f58c25a447bff34ca7ea,available,LOTE GENERAL 001,
PF-000137,https://farecoh.org/t/f4d716ee1d8fb424eb47d2acb91022ce9b7c5de954543d1ae3f6d36e8943e4a1,available,LOTE GENERAL 001,
PF-000138,https://farecoh.org/t/42073d1a5c21fd17aded9344e6269f9300ea38369a47410f0e7002e1755e7d29,available,LOTE GENERAL 001,
PF-000139,https://farecoh.org/t/a7f7fb61007cb3fa6b7b0e99deacff5e1ab081a24fbf0b62595e403b41ec9dfc,available,LOTE GENERAL 001,
PF-000140,https://farecoh.org/t/663a28692952e1469ee474145f3375671231a715044885b22d396eacc9e3bd00,available,LOTE GENERAL 001,
PF-000141,https://farecoh.org/t/4152464c5bdca6ff0d395233890a1be604a6ae0314a2a03df6792fcf3c29a9ff,available,LOTE GENERAL 001,
PF-000142,https://farecoh.org/t/0b052e1fc016b3205a7f207da038aa6616befe9e44fab8fbb96fed2c31970d17,available,LOTE GENERAL 001,
PF-000143,https://farecoh.org/t/47ec8b270f0308ec52d7b630dc0976a9630ab5304fa241af75c5fe639fd6d158,available,LOTE GENERAL 001,
PF-000144,https://farecoh.org/t/f7da650fd379b0590711b2efa27fe8ee45bdb59806d228a5583ee2d37c1dde49,available,LOTE GENERAL 001,
PF-000145,https://farecoh.org/t/0cecbcd1c879aea28a14dd2c43db37f7eba6a630b9cf379043da09657f898456,available,LOTE GENERAL 001,
PF-000146,https://farecoh.org/t/2d58ec7acfc727718df1bb09e730d8cdc89c80f64bbf50d9d268281ba56356ce,available,LOTE GENERAL 001,
PF-000147,https://farecoh.org/t/92751e10aead213cf8cae1c7eb0b9a2042358884ebca7e4854f7301e0813b81d,available,LOTE GENERAL 001,
PF-000148,https://farecoh.org/t/dc6a2c6762b85b520688af7fe6efaf4be095f3f57595bd4901631f74a18ee055,available,LOTE GENERAL 001,
PF-000149,https://farecoh.org/t/89c7cd507e67b2056fe3e2bc3a5f47bf5b418658052e2545f1f81d39d207c7a9,available,LOTE GENERAL 001,
PF-000150,https://farecoh.org/t/3e1544c93bc068cf8df1c6a0db23b3cfa196ae41edbc8c5ef973cd3936fa58b7,available,LOTE GENERAL 001,
PF-000151,https://farecoh.org/t/8fcb459d34c5f2adb8451981776cfd67348cd7229ffb4c4355207c1226cd2e6e,available,LOTE GENERAL 001,
